LocNameHeb,LocalityCode,EstbYr,DistrictCode,DistrictHeb,SubDistrictCode,SubDistrictHeb,NatRegCode,NatRegHeb,MetrCode,MetrHeb,TypeLocCode,TypeLocHeb,MuniCode,MuniHeb,pop_hun,religion,ReligionHeb,religion_pcnt,age0_17_pcnt,age18_64_pcnt,age65_pcnt,m_age0_17_pcnt,m_age18_64_pcnt,m_age65_pcnt,w_age0_17_pcnt,w_age18_64_pcnt,w_age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married_pcnt,notmarried_pcnt,m_married_pcnt,m_notmarried_pcnt,w_married_pcnt,w_notmarried_pcnt,j_isr_pcnt,j_abr_pcnt,aliya1960_pcnt,aliya61_89_pcnt,aliya90_01_pcnt,aliya2002_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,population
כסלון,859,1952,1,מחוז ירושלים,11,נפת ירושלים,111,הרי יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,3.7,1,יהודים,99.4,38.4,57.1,4.6,40,56.4,3.6,36.6,57.8,5.6,867.8,24,22,26,56.2,43.8,55.3,44.7,57.2,42.8,86.4,13.6,59.5,14.5,21.6,4.4,43.5,5.3,38.8,10,2.4,500
כפר בלום,357,1943,2,מחוז הצפון,21,נפת צפת,211,עמק חולה,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,4.3,1,יהודים,93.1,15.5,65.3,19.2,18.2,64.4,17.4,12.9,66.1,21,594.5,41,38,48,48.9,51.1,51.5,48.5,46.5,53.5,70.1,29.9,48.8,32.9,13,5.4,38.3,5.6,12.2,31.1,12.8,500
כפר ברוך,132,1926,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,9,מועצה אזורית עמק יזרעאל,3.4,1,יהודים,99.6,26.3,64.7,9,25.5,68.1,6.4,27.2,61.2,11.6,584.9,32,32,32,60.7,39.3,59.7,40.3,61.7,38.3,86,14,62,22.9,10.8,4.2,51.9,4.7,12.9,27.2,3.3,500
כפר גדעון,106,1923,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,9,מועצה אזורית עמק יזרעאל,2.5,1,יהודים,99.1,37.4,57.6,5,38.3,60,1.7,36.5,55.4,8.1,939.3,23,23,24,48,52,49.7,50.3,46.4,53.6,82.9,17.1,36.7,29.3,23.1,10.9,51.6,5.3,13.5,19.4,10.1,500
כפר גליקסון,310,1939,3,מחוז חיפה,32,נפת חדרה,324,אזור חדרה,,ללא שיוך למטרופולין,330,קיבוץ,14,מועצה אזורית מנשה,2.5,1,יהודים,98.9,15,70.6,14.3,16,65.1,18.9,14.1,75.8,10.1,459.9,38,39,35,51.3,48.7,52.5,47.5,50.1,49.9,73.1,26.9,42.6,48.3,5.7,3.5,33.7,6.1,6.8,27.6,25.8,500
כפר דניאל,707,1949,4,מחוז המרכז,43,נפת רמלה,431,אזור מודיעין,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",320,מושב שיתופי,25,מועצה אזורית חבל מודיעין,4.4,1,יהודים,98.5,35.3,60.4,4.3,36.7,59.9,3.4,33.8,61,5.1,721.2,30,29,30,62.2,37.8,63.6,36.4,60.9,39.1,84.9,15.1,47.9,41.6,7,3.5,51.2,9.7,10.9,22.9,5.3,500
כפר המכבי,254,1936,3,מחוז חיפה,31,נפת חיפה,311,אזור חיפה,222,"מטרופולין חיפה, טבעת פנימית, גזרה מזרחית",330,קיבוץ,12,מועצה אזורית זבולון,3,1,יהודים,100,24.2,57.8,18,26.8,54.3,19,21.9,61,17.1,799.2,32,32,33,50.2,49.8,53.3,46.7,47.5,52.5,74.1,25.9,58.3,25.9,9.8,6.1,41.5,4,6.4,44.5,3.6,500
כפר זיתים,786,1950,2,מחוז הצפון,22,נפת כנרת,222,גליל תחתון מזרחי,,ללא שיוך למטרופולין,310,מושב,3,מועצה אזורית הגליל התחתון,4.7,1,יהודים,99.8,34.5,56.2,9.2,36.3,55,8.7,32.6,57.6,9.8,910.5,26,26,27,52.9,47.1,51.7,48.3,54.3,45.7,85.7,14.3,81.1,10.5,8.4,,51.7,36.3,8.6,1.8,1.6,500
כפר חיטים,255,1936,2,מחוז הצפון,22,נפת כנרת,222,גליל תחתון מזרחי,,ללא שיוך למטרופולין,320,מושב שיתופי,3,מועצה אזורית הגליל התחתון,5,1,יהודים,98.8,37.6,57.1,5.3,43.5,50.6,6,30.5,65,4.5,847.5,32,24,34,65.8,34.2,65.7,34.3,65.8,34.2,92.1,7.9,64.9,23.4,9.4,2.4,58.8,10.2,10.5,19.3,1.2,500
כפר חנניה,1297,1990,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,370,יישוב קהילתי,2,מועצה אזורית מרום הגליל,4.7,1,יהודים,99.6,45,53,2,44.9,53,2.1,45.1,53.1,1.8,979.7,22,21,23,66.8,33.2,64.3,35.7,69.6,30.4,90.1,9.9,27,33,33.3,6.7,52.8,5.2,20.5,17.1,4.5,500
כפר חסידים א',112,1924,3,מחוז חיפה,31,נפת חיפה,311,אזור חיפה,222,"מטרופולין חיפה, טבעת פנימית, גזרה מזרחית",310,מושב,12,מועצה אזורית זבולון,4.3,1,יהודים,99.6,22.3,63.5,14.2,21.6,64.4,14,23,62.5,14.5,622.6,35,36,35,62.4,37.6,61.5,38.5,63.4,36.6,81.7,18.3,57.7,33.4,3.9,5.1,44,6,13.5,34.1,2.3,500
כפר חסידים ב',889,1950,3,מחוז חיפה,31,נפת חיפה,311,אזור חיפה,222,"מטרופולין חיפה, טבעת פנימית, גזרה מזרחית",350,יישוב כפרי אחר יהודי,12,מועצה אזורית זבולון,1.9,1,יהודים,98.5,18.3,56.7,25,17.5,53.7,28.8,19.1,59.9,21,778.4,47,47,51,63.1,36.9,62.1,37.9,64.1,35.9,73.5,26.5,76,22.2,,1.8,32.3,9.7,9.9,44.4,3.7,500
כפר חרוב,4004,1974,2,מחוז הצפון,29,נפת גולן,294,גולן דרומי,,ללא שיוך למטרופולין,330,קיבוץ,71,מועצה אזורית גולן,3.1,1,יהודים,98.8,36.6,63.1,0.3,41.2,58.8,,31.6,67.8,0.6,704.5,27,22,32,54.9,45.1,54.1,45.9,55.7,44.3,83.7,16.3,11.1,60.6,25.3,3,49.2,4.6,9.6,23.6,12.9,500
כפר מימון,1095,1959,6,מחוז הדרום,62,נפת באר שבע,621,אזור גרר,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,39,מועצה אזורית שדות נגב,2.7,1,יהודים,100,32.2,46.1,21.7,30.8,45.9,23.4,33.6,46.2,20.1,1245,34,36,33,80.4,19.6,80.3,19.7,80.6,19.4,79.8,20.2,51.3,32.8,6.4,9.5,44,6.5,15.1,29.8,4.5,500
"כפר מל""ל",98,1922,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,131,"מטרופולין תל אביב, טבעת תיכונה, גזרה צפונית",310,מושב,20,מועצה אזורית דרום השרון,3.5,1,יהודים,99,24.8,64,11.2,28.9,61.4,9.7,20.1,67,12.9,628,32,29,34,54.2,45.8,52.2,47.8,56.2,43.8,89,11,42.5,28.7,17.9,10.9,57.8,7.2,3.1,25.7,6.2,500
כפר מרדכי,764,1950,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",310,מושב,32,מועצה אזורית גדרות,4.7,1,יהודים,99.9,31.9,58.1,10.1,29.7,58.2,12.1,33.9,57.9,8.2,808.9,33,33,33,63.7,36.3,63.2,36.8,64.2,35.8,85.3,14.7,58.7,21.8,17.8,1.7,53.5,8.6,5,28.2,4.7,500
כפר קיש,388,1946,2,מחוז הצפון,22,נפת כנרת,222,גליל תחתון מזרחי,,ללא שיוך למטרופולין,310,מושב,3,מועצה אזורית הגליל התחתון,3.3,1,יהודים,98.6,27.4,68.8,3.8,31.9,64,4.1,22.2,74.4,3.4,509.6,32,29,35,58.9,41.1,57.9,42.1,59.9,40.1,83.4,16.6,59.9,25.1,11.5,3.5,46.7,5.6,7.4,36.8,3.4,500
כפר רוזנואלד (זרעית),1130,1967,2,מחוז הצפון,24,נפת עכו,244,אזור אילון,,ללא שיוך למטרופולין,310,מושב,52,מועצה אזורית מעלה יוסף,2.4,1,יהודים,100,26.1,65.9,8,25.8,64.3,9.9,26.3,67.7,6,578.1,34,33,34,65.8,34.2,63.8,36.2,68,32,76.6,23.4,75.5,22.9,,1.6,42.8,9.6,40.4,6.4,0.8,500
כפר רופין,295,1938,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,330,קיבוץ,7,מועצה אזורית עמק המעיינות,4,1,יהודים,95.6,25,63.2,11.8,25.7,63.6,10.7,24.4,62.9,12.8,752.9,32,32,33,47.5,52.5,49.4,50.6,45.8,54.2,79.1,20.9,40.5,21.3,12.5,25.7,45.5,4.8,5.9,34.9,8.9,500
כפר רות,1166,1977,4,מחוז המרכז,43,נפת רמלה,431,אזור מודיעין,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",310,מושב,25,מועצה אזורית חבל מודיעין,2.1,1,יהודים,98,13.7,85.4,0.9,8.5,89.7,1.8,18.7,81.3,,240.4,31,31,28,43.3,56.7,41.9,58.1,44.8,55.2,84.8,15.2,59.2,18.6,13.8,8.4,48.4,24.3,12.8,11.6,2.9,500
כפר שמאי,605,1949,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,310,מושב,2,מועצה אזורית מרום הגליל,3.3,1,יהודים,100,32.8,62.1,5.1,35.1,63.2,1.7,30.5,60.8,8.7,742,25,23,28,50.8,49.2,51.6,48.4,50,50,84.1,15.9,73.2,25,1.8,,46.2,11.1,28.4,14.1,0.3,500
כרם בן זמרה,664,1949,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,310,מושב,2,מועצה אזורית מרום הגליל,3.8,1,יהודים,99.8,30.4,61.3,8.3,29.2,61.5,9.3,31.5,61.1,7.3,716,31,32,30,60.7,39.3,61.9,38.1,59.5,40.5,83.4,16.6,82.4,15.1,1.4,1.1,46.8,14,24.8,13,1.5,500
כרם בן שמן,88,1958,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",350,יישוב כפרי אחר יהודי,25,מועצה אזורית חבל מודיעין,0.7,1,יהודים,100,22.4,50.7,26.9,21.2,51.5,27.3,23.5,50,26.5,1161.3,41,40,41,66.7,33.3,66.7,33.3,66.7,33.3,74.6,25.4,94.1,5.9,,,49.3,9,6,31.3,4.5,500
"כרם מהר""ל",580,1949,3,מחוז חיפה,32,נפת חדרה,322,אזור זכרון יעקב,243,"מטרופולין חיפה, טבעת חיצונית, גזרה דרומית",310,מושב,15,מועצה אזורית חוף הכרמל,4.8,1,יהודים,97.1,32.2,63,4.8,35.2,61.8,3.1,29,64.3,6.7,660.6,33,31,33,62.3,37.7,61.7,38.3,62.8,37.2,85.6,14.4,44.7,29.6,20.2,5.4,54.1,4.3,5.7,30.3,5.7,500
כרם שלום,1085,1956,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",330,קיבוץ,38,מועצה אזורית אשכול,0.8,1,יהודים,65.8,40.8,59.2,,47.6,52.4,,32.4,67.6,,948.7,21.5,20.5,22,55.3,44.7,59.1,40.9,52,48,78,22,,27.3,45.5,27.3,48,4,18,12,18,500
כרמים,1198,1980,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,321,"מטרופולין באר שבע, טבעת פנימית, גזרה צפונית",330,קיבוץ,41,מועצה אזורית בני שמעון,1.4,1,יהודים,100,42,58,,48.7,51.3,,35.5,64.5,,789.9,22,20,28,60.9,39.1,67,33,55.9,44.1,91.5,8.5,,62.6,12.3,25.1,56.9,8.5,9,12.8,12.7,500
כרמל,3656,1981,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,320,מושב שיתופי,78,מועצה אזורית הר חברון,3.6,1,יהודים,99.8,45.2,54.6,0.3,40.7,58.9,0.4,51.1,48.9,,1080.8,19,20,17,61.9,38.1,52.3,47.7,76.3,23.7,89.4,10.6,4.8,46.6,42.9,5.7,58.7,5.1,4.5,17.5,14.1,500
לבון,1207,1980,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,56,מועצה אזורית משגב,2.9,1,יהודים,98.4,42.8,51.4,5.8,44.5,49.1,6.4,40.9,53.9,5.2,1021,31,30,32,76.7,23.3,76.7,23.3,76.8,23.2,85.6,14.4,44,32.2,15.6,8.2,56.3,5.5,13.2,19.8,5.1,500
לבנים,1230,1982,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,310,מושב,2,מועצה אזורית מרום הגליל,3.6,1,יהודים,98.1,35.6,64.1,0.3,31.7,67.7,0.6,39.4,60.6,,703.3,26,26,26,61.3,38.7,60.3,39.7,62.3,37.7,87,13,20.6,62.8,14.5,2.1,47.3,11.8,20.8,11.8,8.3,500
להב,2023,1952,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,321,"מטרופולין באר שבע, טבעת פנימית, גזרה צפונית",330,קיבוץ,41,מועצה אזורית בני שמעון,3.7,1,יהודים,97.3,29.1,55.2,15.8,27.1,58.9,13.9,30.9,51.5,17.6,940.6,35,31,37,58.9,41.1,59.2,40.8,58.6,41.4,84.5,15.5,38.3,33.7,19.9,8.2,46.6,8,8.6,31.7,5.1,500
לוזית,52,1955,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,3.7,1,יהודים,99.7,36.7,53.6,9.7,42,48.1,10,31.4,59.2,9.4,983.8,26,27,26,52.3,47.7,55.3,44.7,49.6,50.4,82.8,17.2,75.9,21,3.1,,40.2,2.8,55.6,1.1,0.3,500
לוחמי הגיטאות,595,1949,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",330,קיבוץ,4,מועצה אזורית מטה אשר,4.5,1,יהודים,98.7,18.5,67.4,14.1,18.7,69.5,11.7,18.3,65.2,16.5,571.9,37,35,40,49.7,50.3,51.1,48.9,48.3,51.7,80.4,19.6,73.9,20.5,5.6,,50.8,4.8,3,35.2,6.1,500
לוטם,1171,1978,2,מחוז הצפון,24,נפת עכו,242,אזור כרמיאל,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",330,קיבוץ,56,מועצה אזורית משגב,4.4,1,יהודים,95.4,38.3,60.9,0.8,38.9,60.5,0.6,37.6,61.2,1.1,712.3,31,27,32,56.7,43.3,55.7,44.3,57.9,42.1,87,13,13.7,68.3,12.6,5.5,52.7,5.8,12.3,19.2,9.9,500
לוטן,1255,1983,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,330,קיבוץ,53,מועצה אזורית חבל אילות,1.8,1,יהודים,97.7,40.5,57,2.5,43.3,54.3,2.4,37.5,60,2.6,812.3,25,21,27,50.5,49.5,49.8,50.2,51.3,48.7,71.6,28.4,,41.8,41.1,17,32,4.6,4.6,29.5,29.4,500
לפידות,1173,1978,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,310,מושב,52,מועצה אזורית מעלה יוסף,1.4,1,יהודים,98.1,19.7,79.6,0.7,20.6,79.4,,19,79.7,1.3,337.1,31,31,31,56.4,43.6,62.3,37.7,51.6,48.4,83.1,16.9,56.5,34.8,8.7,,36.5,10.4,42.8,7.1,3.2,500
מבוא ביתר,771,1950,1,מחוז ירושלים,11,נפת ירושלים,111,הרי יהודה,,ללא שיוך למטרופולין,320,מושב שיתופי,26,מועצה אזורית מטה יהודה,3.3,1,יהודים,98.7,30.2,56.5,13.3,30.6,57,12.5,29.9,56,14.1,879.2,35,35,36,60.8,39.2,65.7,34.3,56.5,43.5,76.6,23.4,57.9,28.9,10.5,2.7,46,10.2,14.4,15.5,13.9,500
מבוא דותן,3569,1978,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,72,מועצה אזורית שומרון,2.6,1,יהודים,99.3,32,67,1,31.3,67.5,1.3,32.8,66.5,0.7,579,25,25,25,52.9,47.1,48.5,51.5,58.2,41.8,86.1,13.9,50.8,37.6,11.7,,46,15,19.2,14.3,5.6,500
מבוא חמה,4204,1968,2,מחוז הצפון,29,נפת גולן,294,גולן דרומי,,ללא שיוך למטרופולין,330,קיבוץ,71,מועצה אזורית גולן,2.7,1,יהודים,96.8,15.9,81.2,2.9,16.6,79.9,3.5,15.2,82.3,2.4,271.8,32,36,29,46.1,53.9,50.2,49.8,42.5,57.5,82,18,15,65.3,16.4,3.3,48.5,6.1,7.8,27.3,10.4,500
מבוא מודיעים,1141,1964,4,מחוז המרכז,43,נפת רמלה,431,אזור מודיעין,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",370,יישוב קהילתי,25,מועצה אזורית חבל מודיעין,2,1,יהודים,100,28.8,68,3.2,29.1,66.6,4.3,28.6,69.3,2.1,563,25,22,29,47.7,52.3,47.6,52.4,47.9,52.1,54.2,45.8,4.6,61.7,22.1,11.6,11.6,5.5,2.9,10.7,69.3,500
מבטחים,829,1950,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,38,מועצה אזורית אשכול,3.5,1,יהודים,100,22.8,64.6,12.6,22.1,67.3,10.6,23.6,61.6,14.8,634.4,34,34,34,56.1,43.9,54,46,58.2,41.8,76.6,23.4,87.9,8.3,2,1.8,32.5,11.5,49.4,5.5,1.1,500
מבקיעים,573,1949,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,,ללא שיוך למטרופולין,310,מושב,36,מועצה אזורית חוף אשקלון,3.2,1,יהודים,99.4,31.6,58.9,9.5,31.2,61.3,7.5,31.9,56.4,11.7,815.5,29,29,29,53.2,46.8,51.1,48.9,55.5,44.5,84.3,15.7,71.5,20.4,8.1,,42.1,8.9,25.1,21.7,2.2,500
מגדל עוז,3561,1977,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,330,קיבוץ,76,מועצה אזורית גוש עציון,4.4,1,יהודים,99.2,35.3,64.5,0.2,43.3,56.7,,29.6,70,0.4,838.9,20,21,20,44.9,55.1,59,41,36.7,63.3,84.2,15.8,2.8,20.6,32.9,43.7,55,4.3,6.4,18,16.3,500
מגדלים,3751,1983,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,72,מועצה אזורית שומרון,1.3,1,יהודים,81.7,24,73.2,2.8,21.2,76.4,2.3,28.1,68.4,3.4,458.7,27,24,33,39,61,31.5,68.5,51.3,48.7,79.7,20.3,25.1,29.3,35.9,9.7,46.8,8.2,13.3,29,2.8,500
מגידו,586,1949,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,330,קיבוץ,13,מועצה אזורית מגידו,4.9,1,יהודים,96.5,30.1,57.7,12.2,33.6,54.9,11.5,27,60.2,12.8,852.1,31,31,32,59,41,65.6,34.4,53.7,46.3,77.1,22.9,42.7,39.1,15,3.2,42.2,4.7,4.9,22.4,25.8,500
מגן שאול,1155,1976,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,8,מועצה אזורית הגלבוע,2.9,1,יהודים,94,21.7,76.2,2.1,20.3,77.1,2.6,23.3,75.3,1.4,366.9,29,29,29,56.5,43.5,53.5,46.5,59.8,40.2,78.9,21.1,68.9,26.5,3,1.7,28.7,31.3,28.6,9,2.5,500
מורן,1163,1977,2,מחוז הצפון,24,נפת עכו,242,אזור כרמיאל,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",330,קיבוץ,56,מועצה אזורית משגב,2.7,1,יהודים,99.2,32.5,65.9,1.6,32.2,65.4,2.4,32.8,66.4,0.8,622.3,30,28,32,58.1,41.9,56.6,43.4,59.6,40.4,88.1,11.9,37.3,33.1,16.4,13.2,51.3,9,10.5,22,7.3,500
מחולה,3599,1968,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,310,מושב,75,מועצה אזורית ערבות הירדן,3.5,1,יהודים,99.7,35.6,63.3,1.1,37.2,61.7,1.1,33.9,64.9,1.2,698.8,26,25,27,69.4,30.6,67.6,32.4,71.3,28.7,92.8,7.2,23.5,34.4,27.9,14.3,58.8,4.3,8.8,24,4.1,500
מחניים,308,1939,2,מחוז הצפון,21,נפת צפת,213,אזור חצור,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,3.9,1,יהודים,97.1,22.3,60.6,17,25.7,58.4,15.9,19.2,62.7,18.1,747.2,38,38,38,46.6,53.4,50.1,49.9,43.7,56.3,82.5,17.5,22.6,37,28.1,12.2,45.3,5.2,9.5,33.1,6.9,500
מחסיה,776,1950,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,3.7,1,יהודים,98.9,33.1,62.4,4.5,29.6,68.3,2.2,36.9,56,7.1,751.4,26,27,25,56,44,52.4,47.6,60.3,39.7,82.7,17.3,80.8,9.9,9.3,,40.7,22.2,33.1,3.9,,500
מי עמי,1128,1963,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,320,מושב שיתופי,14,מועצה אזורית מנשה,2.5,1,יהודים,99.3,33.6,66,0.4,35.8,63.3,0.8,31.2,68.8,,612.5,31,30,31,67.7,32.3,67.2,32.8,68.2,31.8,90.5,9.5,13.2,52.6,29.9,4.3,56.7,6.7,5.3,22.1,9.3,500
מיטב,2054,1954,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,8,מועצה אזורית הגלבוע,4.4,1,יהודים,99.2,30.3,58,11.7,30.3,60.2,9.5,30.3,56,13.8,827.5,31,31,31,59.6,40.4,60,40,59.2,40.8,82.4,17.6,87.7,10,1.1,1.2,41,51,5.3,2.2,0.5,500
מיצר,4019,1981,2,מחוז הצפון,29,נפת גולן,294,גולן דרומי,,ללא שיוך למטרופולין,330,קיבוץ,71,מועצה אזורית גולן,1.2,1,יהודים,95.8,20.6,78.5,0.9,20.2,77.9,2,20.9,79.1,,2432.7,18,18,18,22,78,24.2,75.8,20.2,79.8,87.6,12.4,,7.4,87.1,5.4,52.6,7.3,5.7,18.7,15.8,500
מירב,1282,1987,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,330,קיבוץ,7,מועצה אזורית עמק המעיינות,4.8,1,יהודים,100,58,41.6,0.4,60.3,39.3,0.4,55.6,44,0.4,1506.2,13,12,15,77.9,22.1,83.8,16.2,73,27,94.5,5.5,,52.8,47.2,,71.2,3.8,6.8,8.9,9.4,500
מכורה,3614,1973,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,310,מושב,75,מועצה אזורית ערבות הירדן,1.2,1,יהודים,94.5,28.7,69.8,1.5,29.4,68,2.6,27.7,72.3,,463.6,32,31,35,60.9,39.1,55.1,44.9,68.1,31.9,83.4,16.6,23.6,45.5,21.5,9.4,41.8,10.2,8.5,26.2,13.3,500
מכמנים,1202,1980,2,מחוז הצפון,24,נפת עכו,242,אזור כרמיאל,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",370,יישוב קהילתי,56,מועצה אזורית משגב,3.3,1,יהודים,94.3,36,61.1,2.9,32.4,64.4,3.3,39.5,58,2.5,771.3,23,24,22,54.4,45.6,55,45,53.8,46.2,85.8,14.2,21.6,46.6,29.2,2.5,54.9,6.3,5,21.6,12.2,500
מלאה,164,1956,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,8,מועצה אזורית הגלבוע,3.2,1,יהודים,100,29.3,61.1,9.6,29.4,63.5,7.1,29.2,58.7,12.1,736.8,31,32,31,59.5,40.5,60,40,59.1,40.9,78.6,21.4,59.7,40.3,,,35.7,3.9,47.5,12.9,,500
מלילות,2044,1953,6,מחוז הדרום,62,נפת באר שבע,621,אזור גרר,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,39,מועצה אזורית שדות נגב,2.4,1,יהודים,98.6,24,61,15,25.6,59.6,14.9,22.7,62.2,15.1,727.3,34,34,34,55.4,44.6,58.4,41.6,52.7,47.3,76.4,23.6,89.9,7.5,,2.6,32.3,53.6,12.1,1.1,0.9,500
מלכייה,596,1949,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,4.1,1,יהודים,85,28.4,57.3,14.3,30.4,53.4,16.1,26.5,61.1,12.5,821.3,36,36,35,61.2,38.8,62.8,37.2,59.8,40.2,77.8,22.2,35.9,34.8,13.9,15.4,42.9,12.1,6.2,31,7.8,500
מנוחה,2030,1953,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,50,מועצה אזורית לכיש,4.3,1,יהודים,100,33.5,51.5,15.1,36.3,51.3,12.4,30.8,51.6,17.6,1093,29,29,30,56.9,43.1,61.1,38.9,53.3,46.7,79.9,20.1,93,1.2,2.3,3.5,42.5,49,6.9,0.5,1.2,500
מנות,1205,1980,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,310,מושב,52,מועצה אזורית מעלה יוסף,3.1,1,יהודים,100,31.3,67.4,1.3,27.2,70.7,2.1,35.1,64.3,0.6,549.2,27,28,26,56.2,43.8,57,43,55.4,44.6,88.1,11.9,30.4,51.6,10.2,7.8,45.8,14.1,27.1,11.8,1.2,500
מנרה,347,1943,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,2.2,1,יהודים,93,14.5,69.9,15.6,15.7,66.7,17.6,13.2,73.5,13.4,497.1,33,31,35,46.3,53.7,43.2,56.8,49.8,50.2,74.3,25.7,43,17.4,33.6,6,39.1,7.2,10.3,38.5,4.8,500
מסד,1258,1983,2,מחוז הצפון,22,נפת כנרת,222,גליל תחתון מזרחי,,ללא שיוך למטרופולין,370,יישוב קהילתי,3,מועצה אזורית הגליל התחתון,3.3,1,יהודים,97.7,36.6,61.7,1.8,36.2,61.4,2.4,36.9,61.9,1.2,751.6,24,24,24,57.3,42.7,58.5,41.5,56.1,43.9,88.6,11.4,10.5,69.9,16.9,2.7,50.5,7.3,13.4,20.9,7.8,500
