מפקד האוכלוסין 2008,,חזרה להסברים על הקובץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלשכה המרכזית לסטטיסטיקה,,חזרה לאינדקס משתנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,תכונות גאוגרפיות ומשתנים דמוגרפיים ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,רמלה,,1,14,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.9,1.9,2.0,,1,יהודים,55.6,,30.6,51.4,18.1,32.1,54.0,13.9,29.1,48.9,22.0,1057.3,33.0,31.0,35.0,52.4,47.6,55.3,44.7,49.7,50.3,55.3,44.7,35.8,16.2,36.5,11.4,25.8,21.4,22.3,26.7,3.9
1972,רמלה,,1,15,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,1.5,0.8,0.8,,2,מוסלמים,61.2,,38.9,53.5,7.5,39.4,55.1,5.6,38.5,52.0,9.5,1020.2,25.0,24.0,25.0,53.5,46.5,52.8,47.2,54.2,45.8,,,,,,,,,,,
1973,רמלה,,1,16,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,0.5,0.3,0.2,,2,מוסלמים,62.4,,36.8,54.3,8.9,36.8,55.2,8.0,36.9,53.3,9.8,1000.1,26.0,27.0,25.0,43.8,56.2,42.5,57.5,45.1,54.9,,,,,,,,,,,
1974,רמלה,,1,17,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.9,2.0,1.9,,2,מוסלמים,56.1,,35.8,54.7,9.6,36.5,55.5,7.9,35.0,53.8,11.3,945.3,26.0,25.0,26.0,53.7,46.3,52.8,47.2,54.6,45.4,,,,,,,,,,,
1975,רמלה,,2,,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,13.1,6.4,6.7,,1,יהודים,80.9,,29.5,58.2,12.3,30.1,59.0,10.9,28.8,57.5,13.7,823.8,32.0,31.0,32.0,55.1,44.9,56.5,43.5,53.8,46.2,67.8,32.2,49.9,24.3,20.5,5.4,30.2,20.6,26.0,21.5,1.6
1976,רמלה,,2,21,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,2.6,1.2,1.4,,1,יהודים,90.1,,28.5,58.5,13.0,28.6,60.4,11.0,28.5,56.9,14.7,794.1,33.0,32.0,34.0,51.2,48.8,53.9,46.1,48.7,51.3,60.6,39.4,30.3,25.0,38.4,6.4,24.3,20.1,25.1,28.7,1.9
1977,רמלה,,2,22,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,4.0,2.0,2.0,,1,יהודים,68.9,,29.6,57.1,13.3,30.9,57.2,11.9,28.3,57.0,14.7,854.1,32.0,31.0,32.0,54.5,45.5,55.6,44.4,53.4,46.6,63.7,36.3,50.3,23.7,19.0,7.1,28.3,19.7,27.3,22.5,2.2
1978,רמלה,,2,23,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,2.2,1.0,1.1,,1,יהודים,69.8,,33.7,52.7,13.7,34.1,54.9,11.0,33.3,50.6,16.1,1032.0,30.0,30.0,31.0,56.2,43.8,59.6,40.4,53.1,46.9,69.2,30.8,76.7,12.8,5.8,4.7,32.9,20.9,27.5,16.9,1.9
1979,רמלה,,2,24,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,4.3,2.1,2.1,,1,יהודים,92.2,,27.8,61.9,10.4,28.4,61.8,9.8,27.1,62.0,10.9,725.5,32.0,31.0,32.0,57.4,42.6,57.2,42.8,57.6,42.4,74.5,25.5,55.3,29.5,12.1,3.2,34.1,21.5,25.2,18.2,1.0
1980,רמלה,,3,,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,16.7,8.2,8.5,,1,יהודים,92.7,,31.2,59.9,8.9,32.0,60.5,7.6,30.5,59.3,10.2,768.2,29.0,28.0,30.0,52.0,48.0,52.9,47.1,51.2,48.8,59.8,40.2,13.8,28.2,52.1,5.8,23.1,16.4,29.5,29.5,1.5
1981,רמלה,,3,31,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.3,1.6,1.7,,1,יהודים,92.0,,36.9,56.4,6.7,38.4,55.1,6.6,35.4,57.8,6.8,843.7,29.0,28.0,29.0,64.0,36.0,66.1,33.9,62.1,37.9,59.8,40.2,5.6,17.7,73.1,3.6,24.9,14.8,14.7,44.7,0.8
1982,רמלה,,3,32,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.4,1.6,1.8,,1,יהודים,93.5,,29.2,62.6,8.2,28.7,64.4,7.0,29.7,61.1,9.2,679.0,29.0,29.0,30.0,51.3,48.7,52.6,47.4,50.1,49.9,67.2,32.8,17.3,39.6,37.6,5.5,28.6,22.8,31.1,16.5,1.0
1983,רמלה,,3,33,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,2.9,1.5,1.5,,1,יהודים,92.1,,26.3,64.7,9.0,25.9,65.8,8.4,26.7,63.7,9.6,618.8,29.0,28.0,29.0,50.4,49.6,49.5,50.5,51.3,48.7,58.5,41.5,19.2,29.0,46.9,4.9,21.3,16.8,38.0,22.5,1.5
1984,רמלה,,3,34,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.3,1.6,1.7,,1,יהודים,91.5,,32.1,58.2,9.7,33.2,59.0,7.8,31.0,57.5,11.5,854.9,28.0,27.0,30.0,48.7,51.3,50.4,49.6,47.1,52.9,54.9,45.1,15.4,21.2,53.9,9.5,18.4,11.2,36.7,30.5,3.3
1985,רמלה,,3,35,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.7,1.9,1.8,,1,יהודים,93.9,,31.3,57.9,10.8,33.0,58.9,8.1,29.6,57.0,13.4,850.7,28.0,27.0,30.0,47.6,52.4,48.2,51.8,47.1,52.9,58.0,42.0,12.3,34.7,47.7,5.3,22.2,16.1,27.9,32.8,1.0
1986,רמלה,,4,,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,17.2,9.3,7.9,,1,יהודים,74.4,,31.0,62.1,6.8,29.7,64.5,5.8,32.6,59.3,8.1,700.4,28.0,28.0,28.0,53.8,46.2,51.4,48.6,56.8,43.2,56.2,43.8,10.8,32.9,50.4,5.9,18.3,14.5,23.8,42.0,1.4
1987,רמלה,,4,41,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,0.9,0.5,0.5,,1,יהודים,93.3,,36.2,60.5,3.3,38.7,57.8,3.5,33.5,63.4,3.1,727.6,28.0,27.0,28.0,72.3,27.7,73.2,26.8,71.4,28.6,79.9,20.1,29.8,41.7,25.7,2.9,37.8,18.1,25.7,18.3,0.1
1988,רמלה,,4,42,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,4.5,2.3,2.2,,1,יהודים,91.7,,30.1,59.8,10.0,31.5,59.8,8.7,28.8,59.9,11.4,763.3,30.0,29.0,31.0,53.3,46.7,53.5,46.5,53.1,46.9,47.6,52.4,7.7,31.7,51.7,8.9,12.8,11.8,25.1,48.2,2.2
1989,רמלה,,4,43,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,4.8,2.4,2.4,,1,יהודים,92.3,,27.9,63.4,8.7,28.2,64.2,7.6,27.6,62.6,9.8,656.4,29.0,28.0,30.0,56.9,43.1,56.7,43.3,57.1,42.9,55.3,44.7,11.8,32.1,51.4,4.6,18.0,14.6,20.0,46.0,1.3
1990,רמלה,,4,44,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.1,1.6,1.6,,1,יהודים,83.9,,32.3,61.8,5.9,33.2,61.0,5.7,31.3,62.6,6.0,723.9,27.0,27.0,27.0,57.6,42.4,58.3,41.7,57.0,43.0,61.0,39.0,12.3,35.7,47.9,4.0,21.7,16.3,23.7,37.6,0.7
1991,רמלה,,4,45,8500,1948,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,133,"מטרופולין תל אביב, טבעת תיכונה, גזרה דרומית",150,"יישוב יהודי 99,999-50,000 תושבים",0,עירייה,,3.8,2.5,1.3,,2,מוסלמים,77.2,,33.8,63.8,2.4,25.6,72.6,1.8,49.9,46.7,3.4,660.5,26.0,28.0,18.0,42.6,57.4,37.1,62.9,57.6,42.4,,,,,,,,,,,
1992,רמת גן,,,,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,16.3,143.6,68.3,75.3,8821.0,1,יהודים,95.3,2.3,20.3,62.8,16.9,21.8,63.6,14.7,19.0,62.0,19.0,651.4,35.0,34.0,37.0,49.4,50.6,52.2,47.8,46.9,53.1,72.5,27.5,56.0,17.6,22.6,3.8,36.0,22.6,8.1,30.3,2.9
1993,רמת גן,1,,,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,56.2,26.4,29.8,,1,יהודים,93.5,,17.5,63.5,19.1,18.8,65.3,15.9,16.3,61.9,21.8,618.4,36.0,34.0,38.0,45.1,54.9,47.9,52.1,42.6,57.4,68.0,32.0,54.4,16.8,25.1,3.8,31.9,24.1,7.9,33.1,3.0
1994,רמת גן,1,11,,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,18.2,8.4,9.7,,1,יהודים,94.9,,17.7,61.9,20.5,19.5,64.0,16.5,16.1,60.0,23.9,666.4,36.0,34.0,39.0,45.6,54.4,49.1,50.9,42.7,57.3,68.8,31.2,62.7,15.4,18.9,3.0,32.9,28.3,7.8,28.5,2.6
1995,רמת גן,1,11,112,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.0,1.9,2.1,,1,יהודים,98.1,,23.9,59.4,16.7,25.5,59.3,15.2,22.3,59.6,18.1,756.7,36.0,34.0,37.0,53.4,46.6,56.2,43.8,51.0,49.0,78.2,21.8,67.5,19.7,10.3,2.6,41.7,20.7,6.5,28.5,2.7
1996,רמת גן,1,11,113,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.8,1.3,1.4,,1,יהודים,94.5,,16.0,71.2,12.8,17.7,70.7,11.7,14.4,71.8,13.9,436.5,34.0,33.0,35.0,48.3,51.7,49.7,50.3,46.9,53.1,72.8,27.2,51.0,16.6,29.1,3.3,32.6,31.4,9.6,24.5,1.9
1997,רמת גן,1,11,114,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,5.4,2.4,3.0,,1,יהודים,93.6,,14.1,57.4,28.6,15.9,63.6,20.6,12.6,52.3,35.0,801.3,39.0,35.0,45.0,40.1,59.9,44.8,55.2,36.4,63.6,61.5,38.5,65.7,15.3,16.5,2.5,28.3,27.5,7.9,34.0,2.2
1998,רמת גן,1,11,115,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.4,1.1,1.3,,1,יהודים,95.1,,17.9,60.6,21.5,20.5,61.7,17.7,15.6,59.7,24.6,692.5,38.0,35.0,40.0,44.3,55.7,48.7,51.3,40.7,59.3,64.7,35.3,65.4,10.3,21.9,2.4,27.9,38.0,7.8,24.2,2.2
1999,רמת גן,1,11,116,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.5,1.6,1.9,,1,יהודים,93.5,,17.3,65.0,17.6,18.5,66.2,15.4,16.3,64.1,19.6,573.5,35.0,34.0,37.0,44.9,55.1,47.7,52.3,42.4,57.6,68.7,31.3,58.8,15.3,21.4,4.5,33.3,29.4,7.6,26.0,3.7
2000,רמת גן,1,12,,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,10.1,4.8,5.2,,1,יהודים,96.2,,18.2,64.8,17.0,19.2,66.0,14.8,17.3,63.6,19.0,578.5,35.0,34.0,36.0,46.3,53.7,48.1,51.9,44.7,55.3,73.1,26.9,57.7,19.9,19.0,3.4,35.0,23.7,8.4,29.7,3.1
2001,רמת גן,1,12,121,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.1,1.4,1.7,,1,יהודים,94.7,,14.6,65.3,20.1,16.6,66.3,17.1,13.0,64.4,22.6,561.6,34.0,32.0,36.0,40.6,59.4,43.7,56.3,38.1,61.9,66.6,33.4,56.6,16.3,23.0,4.1,30.0,27.7,9.7,29.6,3.0
2002,רמת גן,1,12,122,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,1.7,0.8,0.9,,1,יהודים,97.0,,21.8,61.2,17.0,21.3,62.9,15.8,22.3,59.6,18.1,673.6,36.0,36.0,37.0,49.2,50.8,51.7,48.3,46.9,53.1,76.4,23.6,67.0,16.1,13.5,3.5,39.1,24.6,8.0,25.2,3.2
2003,רמת גן,1,12,123+124,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.3,1.6,1.7,,1,יהודים,97.3,,18.0,65.6,16.4,19.2,66.3,14.5,16.8,64.9,18.3,563.3,35.0,34.0,37.0,48.7,51.3,49.5,50.5,48.0,52.0,75.6,24.4,62.2,20.6,15.3,1.8,36.4,24.7,7.4,28.8,2.8
2004,רמת גן,1,12,125,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.0,1.0,1.0,,1,יהודים,96.2,,21.4,65.7,13.0,21.3,67.6,11.1,21.4,63.8,14.8,556.4,35.0,35.0,36.0,49.5,50.5,49.7,50.3,49.3,50.7,76.4,23.6,44.4,29.8,21.1,4.7,37.0,15.3,8.3,35.4,4.0
2005,רמת גן,1,13,,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,28.0,13.1,14.8,,1,יהודים,91.7,,17.1,64.1,18.9,18.2,65.8,16.0,16.1,62.5,21.4,603.0,36.0,34.0,38.0,44.3,55.7,47.1,52.9,41.9,58.1,65.5,34.5,48.3,16.7,30.6,4.3,30.0,21.4,7.8,37.6,3.3
2006,רמת גן,1,13,131,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.3,1.1,1.2,,1,יהודים,95.9,,18.6,67.3,14.1,19.4,67.6,12.9,17.8,67.0,15.2,519.7,33.0,33.0,34.0,45.6,54.4,47.8,52.2,43.7,56.3,75.0,25.0,52.7,23.4,19.9,4.0,39.2,16.7,8.4,31.7,4.0
2007,רמת גן,1,13,132,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.2,1.5,1.7,,1,יהודים,96.0,,17.1,67.4,15.5,16.9,68.8,14.4,17.2,66.2,16.6,513.4,34.0,33.0,34.0,45.3,54.7,46.2,53.8,44.6,55.4,74.0,26.0,50.1,21.0,25.6,3.4,35.8,19.7,8.6,32.0,3.9
2008,רמת גן,1,13,133,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,5.6,2.6,3.0,,1,יהודים,92.6,,17.7,65.4,16.9,18.4,66.8,14.8,17.0,64.2,18.8,571.1,35.0,34.0,37.0,45.3,54.7,47.9,52.1,43.1,56.9,66.9,33.1,46.9,19.2,28.9,5.1,31.8,22.1,7.9,34.8,3.4
2009,רמת גן,1,13,134,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.4,1.6,1.8,,1,יהודים,89.0,,16.1,64.3,19.5,17.3,66.4,16.3,15.1,62.5,22.3,600.0,38.0,36.0,39.0,43.5,56.5,47.0,53.0,40.6,59.4,62.1,37.9,44.5,13.5,37.7,4.3,27.4,18.6,7.3,43.4,3.4
2010,רמת גן,1,13,135,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.9,1.3,1.5,,1,יהודים,86.6,,15.4,60.1,24.5,17.1,64.8,18.0,13.9,56.0,30.1,707.3,35.0,33.0,37.0,37.4,62.6,39.8,60.2,35.5,64.5,53.9,46.1,47.8,13.8,33.3,5.2,23.2,22.9,6.8,43.7,3.4
2011,רמת גן,1,13,136,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.8,2.3,2.5,,1,יהודים,90.1,,18.3,62.0,19.7,19.8,63.7,16.5,17.0,60.4,22.6,662.5,38.0,36.0,40.0,44.9,55.1,48.2,51.8,42.0,58.0,63.3,36.7,44.8,16.3,34.2,4.7,28.0,22.3,7.3,39.5,2.9
2012,רמת גן,1,13,137,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,1.8,0.8,1.0,,1,יהודים,89.8,,14.8,60.4,24.8,16.3,62.5,21.2,13.5,58.7,27.8,698.7,45.0,40.0,48.0,44.0,56.0,48.9,51.1,39.9,60.1,59.4,40.6,58.0,13.4,24.8,3.8,25.7,22.3,6.9,42.5,2.7
2013,רמת גן,1,13,138,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.0,1.9,2.1,,1,יהודים,93.2,,16.7,64.5,18.8,18.4,65.5,16.1,15.3,63.5,21.2,597.1,36.0,34.0,38.0,46.3,53.7,49.5,50.5,43.7,56.3,66.8,33.2,50.6,15.7,30.6,3.1,28.1,24.3,8.6,36.4,2.5
2014,רמת גן,2,,,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,39.6,18.8,20.8,,1,יהודים,95.7,,20.2,63.4,16.3,21.6,64.1,14.3,19.0,62.8,18.2,628.5,35.0,34.0,36.0,50.6,49.4,53.4,46.6,48.2,51.8,74.2,25.8,57.3,17.3,22.1,3.2,37.6,21.3,8.1,30.2,2.8
2015,רמת גן,2,21,,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,20.2,9.5,10.7,,1,יהודים,94.0,,18.6,64.3,17.1,19.8,65.4,14.8,17.6,63.3,19.1,600.5,35.0,34.0,36.0,47.5,52.5,50.0,50.0,45.4,54.6,71.9,28.1,54.1,16.8,25.3,3.9,35.7,20.7,8.3,32.3,3.0
2016,רמת גן,2,21,211,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.5,1.1,1.4,,1,יהודים,89.8,,14.9,69.3,15.8,15.8,71.2,13.0,14.2,67.8,18.0,471.8,34.0,32.0,35.0,40.3,59.7,44.5,55.5,37.1,62.9,67.8,32.2,46.6,14.9,35.7,2.8,32.1,19.5,7.8,37.3,3.3
2017,רמת גן,2,21,212,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,3.1,1.5,1.7,,1,יהודים,93.4,,19.5,64.1,16.5,19.2,66.3,14.5,19.8,62.1,18.2,617.1,33.0,31.0,34.0,44.3,55.7,45.9,54.1,42.8,57.2,68.9,31.1,45.6,20.0,26.3,8.1,34.7,18.8,9.0,33.3,4.1
2018,רמת גן,2,21,213,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.9,1.4,1.5,,1,יהודים,94.0,,17.5,62.8,19.8,18.4,63.1,18.5,16.6,62.5,20.9,634.4,37.0,36.0,39.0,51.7,48.3,54.2,45.8,49.5,50.5,69.3,30.7,56.2,18.2,22.7,2.8,32.6,19.5,8.4,36.3,3.2
2019,רמת גן,2,21,214,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,2.2,1.1,1.2,,1,יהודים,91.4,,17.8,67.2,15.1,20.7,66.9,12.4,15.0,67.4,17.6,531.1,35.0,34.0,37.0,44.6,55.4,46.2,53.8,43.2,56.8,72.6,27.4,46.0,14.5,35.0,4.6,35.1,18.0,6.4,37.9,2.6
2020,רמת גן,2,21,215,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,5.0,2.4,2.7,,1,יהודים,96.7,,17.5,65.0,17.5,18.4,66.1,15.5,16.8,64.0,19.2,584.3,35.0,35.0,37.0,50.0,50.0,52.4,47.6,48.0,52.0,74.1,25.9,62.8,14.9,19.5,2.9,36.8,24.5,8.4,27.9,2.4
2021,רמת גן,2,21,216,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,4.3,2.1,2.3,,1,יהודים,95.2,,22.6,60.5,16.9,24.3,61.8,13.9,21.1,59.2,19.7,711.5,35.0,34.0,37.0,50.1,49.9,52.8,47.2,47.9,52.1,75.2,24.8,59.0,17.7,20.8,2.5,39.4,20.5,8.8,28.5,2.8
2022,רמת גן,2,22,,8600,1921,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",140,"יישוב יהודי 199,999-100,000 תושבים",0,עירייה,,19.4,9.3,10.1,,1,יהודים,97.4,,21.9,62.5,15.6,23.5,62.8,13.8,20.4,62.3,17.3,658.5,35.0,34.0,37.0,53.9,46.1,57.0,43.0,51.2,48.8,76.5,23.5,61.1,17.9,18.4,2.5,39.5,21.8,8.0,28.1,2.6
